Epsilon(kCal/mol) T(Kelvin) Cv(kCal/mol*Kelvin)
2.79 19.47 0.2974
2.79 19.57 0.297
2.79 19.67 0.2967
2.79 19.77 0.2963
2.79 19.88 0.296
2.79 19.98 0.2956
2.79 20.08 0.2952
2.79 20.19 0.2948
2.79 20.3 0.2944
2.79 20.4 0.294
2.79 20.51 0.2935
2.79 20.62 0.2931
2.79 20.72 0.2926
2.79 20.83 0.2922
2.79 20.94 0.2917
2.79 21.05 0.2912
2.79 21.16 0.2907
2.79 21.27 0.2902
2.79 21.38 0.2896
2.79 21.49 0.2891
2.79 21.61 0.2886
2.79 21.72 0.288
2.79 21.83 0.2874
2.79 21.95 0.2868
2.79 22.06 0.2863
2.79 22.18 0.2857
2.79 22.29 0.285
2.79 22.41 0.2844
2.79 22.52 0.2838
2.79 22.64 0.2831
2.79 22.76 0.2825
2.79 22.88 0.2818
2.79 23.0 0.2811
2.79 23.12 0.2804
2.79 23.24 0.2797
2.79 23.36 0.279
2.79 23.48 0.2782
2.79 23.61 0.2774
2.79 23.73 0.2766
2.79 23.85 0.2758
2.79 23.98 0.275
2.79 24.1 0.2741
2.79 24.23 0.2732
2.79 24.36 0.2722
2.79 24.48 0.2713
2.79 24.61 0.2703
2.79 24.74 0.2692
2.79 24.87 0.2681
2.79 25.0 0.267
2.81 15.08 1.4534
2.81 15.16 1.5749
2.81 15.24 1.6938
2.81 15.32 1.8053
2.81 15.4 1.9072
2.81 15.48 1.9948
2.81 15.56 2.066
2.81 15.64 2.1173
2.81 15.72 2.1474
2.81 15.8 2.1552
2.81 15.89 2.1411
2.81 15.97 2.1063
2.81 16.05 2.0526
2.81 16.14 1.9833
2.81 16.22 1.901
2.81 16.3 1.8099
2.81 16.39 1.7124
2.81 16.48 1.6127
2.81 16.56 1.5123
2.81 16.65 1.4146
2.81 16.74 1.3202
2.81 16.82 1.2315
2.81 16.91 1.1483
2.81 17.0 1.072
2.81 17.09 1.0018
2.81 17.18 0.9386
2.81 17.27 0.8814
2.81 17.36 0.8304
2.81 17.45 0.7848
2.81 17.54 0.7444
2.81 17.63 0.7084
2.81 17.72 0.6767
2.81 17.82 0.6486
2.81 17.91 0.6238
2.81 18.0 0.6018
2.81 18.1 0.5824
2.81 18.19 0.5652
2.81 18.29 0.5499
2.81 18.38 0.5363
2.81 18.48 0.5241
2.81 18.57 0.5132
2.81 18.67 0.5034
2.81 18.77 0.4945
2.81 18.87 0.4865
2.81 18.97 0.4791
2.81 19.06 0.4724
2.81 19.16 0.4662
2.81 19.26 0.4606
2.81 19.37 0.4553
2.81 19.47 0.4503
2.81 19.57 0.4457
2.81 19.67 0.4414
2.81 19.77 0.4373
2.81 19.88 0.4335
2.81 19.98 0.4298
2.81 20.08 0.4264
2.81 20.19 0.4231
2.81 20.3 0.4199
2.81 20.4 0.4169
2.81 20.51 0.4141
2.81 20.62 0.4113
2.81 20.72 0.4087
2.81 20.83 0.4062
2.81 20.94 0.4038
2.81 21.05 0.4015
2.81 21.16 0.3994
2.81 21.27 0.3973
2.81 21.38 0.3954
2.81 21.49 0.3936
2.81 21.61 0.3918
2.81 21.72 0.3902
2.81 21.83 0.3887
2.81 21.95 0.3874
2.81 22.06 0.3861
2.81 22.18 0.3849
2.81 22.29 0.3839
2.81 22.41 0.383
2.81 22.52 0.3821
2.81 22.64 0.3814
2.81 22.76 0.3808
2.81 22.88 0.3803
2.81 23.0 0.3798
2.81 23.12 0.3795
2.81 23.24 0.3792
2.81 23.36 0.379
2.81 23.48 0.3789
2.81 23.61 0.3788
2.81 23.73 0.3787
2.81 23.85 0.3786
2.81 23.98 0.3786
2.81 24.1 0.3785
2.81 24.23 0.3785
2.81 24.36 0.3783
2.81 24.48 0.3781
2.81 24.61 0.3779
2.81 24.74 0.3775
2.81 24.87 0.3771
